[2024-06-05 20:11:25,607: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 20:11:25,608: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 20:11:51,660: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-05 20:11:58,777: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-05 20:13:55,984: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE started <<<<<<]
[2024-06-05 20:13:55,997: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:13:55,997: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:13:55,997: INFO: common: created directory at: artifacts]
[2024-06-05 20:13:56,005: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-05 20:13:56,006: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-05 20:14:24,637: INFO: data_ingestion: Downloaded the data from https://drive.google.com/file/d/1tmLo5gb1PooR21OWqOuK8mxEWjIdO3GB/view?usp=sharing to file artifacts/data_ingestion/data.zip]
[2024-06-05 20:14:30,045: INFO: stage_01_data_ingestion: >>>>>> Stage DATA_INGESTION_STAGE Completed <<<<<<]
[2024-06-05 20:16:06,097: INFO: stage_02_prepare_base_model: *******************]
[2024-06-05 20:16:06,097: INFO: stage_02_prepare_base_model: >>>>>> stage Prepare base model started <<<<<<]
[2024-06-05 20:16:06,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:16:06,118: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:16:06,120: INFO: common: created directory at: artifacts]
[2024-06-05 20:16:06,121: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-05 20:16:07,182: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-05 20:16:07,629: INFO: stage_02_prepare_base_model: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-06-05 20:16:21,664: INFO: stage_03_model_training: *******************]
[2024-06-05 20:16:21,664: INFO: stage_03_model_training: >>>>>> stage Training started <<<<<<]
[2024-06-05 20:16:21,680: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:16:21,680: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:16:21,680: INFO: common: created directory at: artifacts]
[2024-06-05 20:16:21,680: INFO: common: created directory at: artifacts\training]
[2024-06-05 20:32:55,536: INFO: stage_03_model_training: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-06-05 20:34:27,523: INFO: stage_04_model_eveluation_mlflow: *******************]
[2024-06-05 20:34:27,523: INFO: stage_04_model_eveluation_mlflow: >>>>>> stage Evaluation stage started <<<<<<]
[2024-06-05 20:34:27,523: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:34:27,523: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:34:27,523: INFO: common: created directory at: artifacts]
[2024-06-05 20:38:48,568: INFO: common: json file saved at: scores.json]
[2024-06-05 20:38:48,571: INFO: common: json file saved at: scores.json]
[2024-06-05 20:38:52,396: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
[2024-06-05 20:38:53,907: INFO: builder_impl: Assets written to: C:\Users\shree\AppData\Local\Temp\tmpa97fxktj\model\data\model\assets]
